timestamp_s,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,avg_runq_latency_ns,max_runq_latency_ns,minor_faults,kernel_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,label
1774161156.348,20287,4,IPC I/O Child,8,5,3,0,167674,47040,204583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82497,8,libuv-worker,2,2,0,0,70892,11827,19206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102148,9,docker,3,3,0,0,132958,20291,57618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,20225,15,Isolated Web Co,1,1,0,0,121698,7173,7173,8,0,2,130,1024,0,0,108,162503943,1989214303,2,33,2,33,0,34,37941010,37,439464409,2,8,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102198,9,pool-9967,13,13,0,0,377846,11900,127489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,663,7,systemd-journal,26,26,0,0,4913133,9648,51306,121,0,27,49,24064,0,0,25,256433542,4769383577,12,0,1590,0,0,0,0,13,493138263,0,0,0,0,0,1,2525,0,0,0,cpu_bound
1774161156.348,82553,0,VizCompositorTh,15,15,0,0,797968,2362,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102169,0,pool-9965,12,12,0,0,145732,1911,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82552,4,Chrome_ChildIOT,9,9,0,0,381845,14173,50635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,35850,9,Inotify~tThread,63,63,0,0,938556,3919,8807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82494,7,code,28,25,3,0,7877643,2296,5450,101,0,260,193,403648,0,6,253,21651723,582041752,0,0,0,0,7,150,3156463,96,52128859,0,12,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82402,13,ThreadPoolSingl,9,9,0,0,661129,9597,19256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,7758,8,IPDL Background,20,20,0,0,1241662,10699,27421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82403,7,Chrome_IOThread,22,22,0,0,1364160,3511,11101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4192,4,JS Helper,1,1,0,0,326591,2726,2726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,83778,13,cpptools,1,1,0,0,92653,16271,16271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82665,5,ThreadPoolServi,3,3,0,0,92533,2862,4067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,7828,4,Compositor,2,2,0,0,801961,3316,3316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82563,8,ThreadPoolServi,4,4,0,0,422420,16566,18184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102100,8,docker,1,1,0,0,30947,18154,18154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102158,15,docker,1,1,0,0,14006,52989,52989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,102192,9,docker,4,4,0,0,393677,23048,85460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,36493,10,Timer,13,12,1,0,633037,14486,24616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,20209,0,TaskCon~ller #0,19,19,0,0,362219,2313,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,4171,3,gnome-shell,5,5,0,0,596315,2568,3386,16,3,367,357,324160,0,2,345,1497,16732,40,129,160,1032,0,176,1712,0,0,0,24,1,658682,658682,0,0,0,0,0,cpu_bound
1774161156.348,82702,5,code,50,50,0,0,1680321,9532,27341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82697,9,code,49,49,0,0,516245,6207,113983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,27369,2,Backgro~Pool #4,6,6,0,0,359293,10317,18745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,44351,7,IPC I/O Child,3,3,0,0,46205,1693,1714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82496,2,libuv-worker,17,17,0,0,462256,2204,3657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
1774161156.348,82495,0,libuv-worker,6,6,0,0,340168,2063,2555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cpu_bound
