timestamp_ns,pid,cpu,comm,ctx_switches,voluntary_switches,involuntary_switches,cpu_migrations,total_runtime_ns,stall_ns,avg_stall_ns,max_stall_ns,latency_count,avg_runq_ratio,minor_faults,major_faults,kmalloc_count,kfree_count,total_alloc_bytes,total_free_bytes,large_page_allocs,syscall_count,avg_syscall_latency_ns,max_syscall_latency_ns,read_count,write_count,read_bytes,write_bytes,mmap_count,futex_count,avg_futex_latency_ns,epoll_count,avg_epoll_latency_ns,poll_count,syscall_error_count,mutex_contentions,avg_mutex_wait_ns,max_mutex_wait_ns,rwsem_read_contentions,avg_rwsem_read_wait_ns,rwsem_write_contentions,avg_rwsem_write_wait_ns,max_rwsem_write_wait_ns,session_label
14408228159596,147448,0,docker,19,17,2,1,2382164,41292,2294,4348,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14359651130343,100255,9,kworker/u64:27,18,2,16,3,541054,55411,3259,10439,17,0,0,0,2,60,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,478,1343,0,0,0,0,0,idle_baseline
14400110092528,147396,11,docker,1,0,1,1,25858,5110,5110,5110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14379838664349,147037,6,docker,9,9,0,1,11495760,15199,1899,3076,8,0,2056,5,42,1701,49208,0,0,69,4757,103354,10,0,7833,0,40,19,2589,0,0,0,0,30,326,1082,36,274,0,0,0,idle_baseline
14378941503587,146914,12,pool-10361,9,9,0,5,379812,40805,4533,16621,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14418208004414,57555,6,TaskCon~ller #0,165,164,1,18,49428003,526364,3269,15589,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14419309776225,57534,3,Isolated Web Co,291,287,4,12,574697415,1980443,6973,18444,284,0,6682,0,418,540,829824,0,0,1573,1977314,557947941,584,406,584,405,82,493,6295654,8,4814,0,27,1241,693,4177,0,0,0,0,0,idle_baseline
14334948731987,146614,4,pool-10333,6,6,0,1,410308,22683,3780,10109,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14408228046825,147449,11,docker,1,0,1,1,25939,5019,5019,5019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14389534818658,8495,5,IPDL Background,163,163,0,5,5442520,1085804,6661,289682,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14366953509809,146889,8,pool-10358,4,4,0,1,42890,8967,2241,2424,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14385921512502,147159,12,docker,3,2,1,1,244779,4568,1522,1593,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,idle_baseline
14419386020577,144020,7,kworker/7:0,117,6,111,0,11722962,12222580,106283,2204878,115,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,467,3026,1,1102,0,0,0,idle_baseline
