y,session_label,comm,iso_outlier,lof_outlier,both_flagged,cluster_KMeans (k=4),cluster_GMM (k=4),cluster_Agglomerative (k=4),cluster_DBSCAN,orig_index
0,unknown,MediaDe~ine #77,0,0,False,0,1,2,8,407
0,unknown,sh,0,0,False,2,0,1,-1,408
0,unknown,Thread-8 (worke,0,0,False,0,1,2,0,409
0,unknown,sqldb:c~lite #3,0,0,False,0,1,2,0,410
0,unknown,SSL Cert #59,0,0,False,0,1,2,-1,412
0,unknown,StreamTrans #1,0,0,False,0,1,2,8,413
0,unknown,kworker/2:2,0,1,False,0,1,2,-1,414
0,unknown,Thread-8 (worke,0,0,False,0,1,2,0,415
0,unknown,JS Helper,0,0,False,0,1,2,0,416
2,unknown,in:imuxsock,0,0,False,0,1,2,0,417
0,unknown,IPC I/O Child,0,0,False,0,1,2,-1,418
0,unknown,JS Watchdog,0,0,False,0,1,2,0,419
1,unknown,ThreadPoolForeg,0,0,False,0,1,2,-1,420
2,unknown,ImageBridgeChld,0,1,False,0,1,1,-1,421
0,unknown,sed,0,0,False,2,0,1,16,422
0,unknown,python3,0,0,False,2,0,1,-1,423
0,unknown,sh,0,1,False,2,0,1,-1,424
0,unknown,Thread-117 (wor,0,0,False,0,1,2,0,425
0,unknown,Thread-148 (wor,0,0,False,0,1,2,-1,426
0,unknown,Thread-21 (_han,0,1,False,0,1,2,0,427
0,unknown,ThreadPoolForeg,0,0,False,0,1,2,0,428
0,unknown,Thread-54 (_han,0,0,False,0,1,2,0,430
1,unknown,TaskCon~ller #2,0,0,False,0,1,2,0,431
0,unknown,Thread-5 (worke,0,0,False,0,1,2,0,432
0,unknown,systemd-logind,0,0,False,2,0,1,-1,433
1,unknown,wireplumber,0,0,False,2,0,1,-1,434
0,unknown,StreamTrans #70,0,0,False,0,1,2,-1,435
0,unknown,Socket Thread,0,0,False,0,1,2,0,436
0,unknown,sed,0,0,False,2,0,1,16,437
0,unknown,Chrome_ChildIOT,0,0,False,0,1,1,-1,438
1,unknown,Thread-146 (wor,0,0,False,0,1,2,-1,439
0,unknown,gdbus,0,0,False,0,1,2,0,440
0,unknown,Thread-203 (wor,0,0,False,0,1,2,-1,441
0,unknown,sh,0,0,False,2,0,1,-1,442
0,unknown,TaskCon~ller #0,0,0,False,0,1,2,0,443
0,unknown,cpuUsage.sh,0,0,False,2,0,1,9,444
0,unknown,Thread-14 (work,0,0,False,0,1,2,0,445
0,unknown,pet,0,0,False,0,1,2,-1,446
0,unknown,Thread-17 (work,0,0,False,0,1,2,0,447
0,unknown,gdbus,0,0,False,0,1,2,0,448
0,unknown,Thread-1 (worke,0,0,False,0,1,2,0,449
0,unknown,Thread-36 (work,0,0,False,0,1,2,0,450
0,unknown,Utility Process,0,0,False,2,0,1,-1,451
0,unknown,kworker/u32:0,1,0,False,2,0,1,-1,452
0,unknown,cat,0,0,False,2,0,1,6,453
0,unknown,JS Helper,0,0,False,0,1,2,0,454
0,unknown,MediaTimer #69,0,0,False,0,1,2,0,455
0,unknown,JS Helper,0,0,False,0,1,2,0,456
